Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corsscicom,All other fields,topicj,10.6472,6.1376,7.537,4.5096,0.5983,medium
corsscicom,All other fields,pro3,7.9724,5.7033,5.0797,2.269,0.4467,small
corsscicom,All other fields,actv,19.0557,16.3123,6.3178,2.7434,0.4342,small
corsscicom,All other fields,inf,11.4841,9.6383,5.0661,1.8459,0.3644,small
corsscicom,All other fields,abstrcn,37.8045,32.2562,15.2878,5.5482,0.3629,small
corsscicom,All other fields,timej,1.2488,0.7662,1.6112,0.4826,0.2995,small
corsscicom,All other fields,allpro,17.335,14.5532,9.5741,2.7818,0.2906,small
corsscicom,All other fields,humann,6.7744,4.9788,6.2275,1.7956,0.2883,small
corsscicom,All other fields,cognitn,8.5386,7.0663,5.2197,1.4724,0.2821,small
corsscicom,All other fields,allverb,106.735,102.5615,14.941,4.1735,0.2793,small
corsscicom,All other fields,x3_jto,0.0411,0.0106,0.1098,0.0305,0.2774,small
corsscicom,All other fields,dsre_vto,1.0179,0.7993,1.1359,0.2186,0.1924,negligible
corsscicom,All other fields,sua_vb,1.8915,1.5713,1.7853,0.3202,0.1793,negligible
corsscicom,All other fields,vprogrsv,6.0488,5.4548,3.5259,0.594,0.1685,negligible
corsscicom,All other fields,commv,6.763,6.0863,4.0531,0.6767,0.167,negligible
corsscicom,All other fields,pres,57.9419,54.877,18.9305,3.0649,0.1619,negligible
corsscicom,All other fields,all_to,5.9028,5.3967,3.6087,0.5062,0.1403,negligible
corsscicom,All other fields,n,345.5854,341.2215,33.22,4.3638,0.1314,negligible
corsscicom,All other fields,lkly_jth,0.8496,0.6714,1.3617,0.1782,0.1308,negligible
corsscicom,All other fields,aspectpv,0.0159,0.0068,0.0694,0.0091,0.1305,negligible
corsscicom,All other fields,allwh,0.5362,0.4203,0.908,0.1159,0.1276,negligible
corsscicom,All other fields,gen_emph,1.7098,1.4961,1.686,0.2137,0.1267,negligible
corsscicom,All other fields,wh_ques,0.2524,0.1736,0.6792,0.0788,0.116,negligible
corsscicom,All other fields,quann,8.1805,7.4577,6.3141,0.7228,0.1145,negligible
corsscicom,All other fields,all_vto,3.4276,3.1588,2.3674,0.2688,0.1136,negligible
corsscicom,All other fields,all_jth,1.1317,0.9667,1.5045,0.165,0.1097,negligible
corsscicom,All other fields,contrac,0.5951,0.4583,1.2656,0.1369,0.1081,negligible
corsscicom,All other fields,causev,2.8951,2.6428,2.4263,0.2524,0.104,negligible
corsscicom,All other fields,pos_mod,5.5797,5.1735,3.9232,0.4062,0.1035,negligible
corsscicom,All other fields,x1_jto,0.7451,0.616,1.2807,0.1291,0.1008,negligible
corsscicom,All other fields,vcmp,4.815,4.4726,3.5016,0.3424,0.0978,negligible
corsscicom,All other fields,all_jto,1.6642,1.4964,1.7644,0.1679,0.0951,negligible
