Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
abs,All other sections,x5_jto,0.1681,0.2669,0.5943,-0.0988,-0.1662,negligible
abs,All other sections,allpasv,16.5681,17.9747,8.3895,-1.4066,-0.1677,negligible
abs,All other sections,att_vth,0.333,0.4772,0.8437,-0.1442,-0.1709,negligible
abs,All other sections,lklydvl,0.1768,0.2927,0.6753,-0.116,-0.1717,negligible
abs,All other sections,pro2,0.0535,0.257,1.1816,-0.2034,-0.1722,negligible
abs,All other sections,actv,15.4303,16.5329,6.3479,-1.1027,-0.1737,negligible
abs,All other sections,nfct_nth,0.0049,0.0437,0.2225,-0.0388,-0.1744,negligible
abs,All other sections,allwhrel,3.4535,3.9405,2.7714,-0.4869,-0.1757,negligible
abs,All other sections,atadvl,0.0195,0.0647,0.2563,-0.0452,-0.1765,negligible
abs,All other sections,nec_mod,0.7065,0.9836,1.4932,-0.2771,-0.1856,negligible
abs,All other sections,jcmp,0.1346,0.2401,0.5623,-0.1055,-0.1876,negligible
abs,All other sections,all_th,6.5811,7.4788,4.7539,-0.8977,-0.1888,negligible
abs,All other sections,commpv,0.0,0.0512,0.2707,-0.0512,-0.1892,negligible
abs,All other sections,lkly_nth,0.16,0.299,0.7148,-0.139,-0.1945,negligible
abs,All other sections,pany,0.5497,0.7573,1.0294,-0.2076,-0.2017,small
abs,All other sections,allverb,99.7476,102.9688,14.9594,-3.2212,-0.2153,small
abs,All other sections,tccncrt,4.9946,6.434,6.539,-1.4394,-0.2201,small
abs,All other sections,aspectv,0.5184,0.7862,1.1811,-0.2678,-0.2267,small
abs,All other sections,lkly_vth,1.0741,1.4431,1.6247,-0.3691,-0.2272,small
abs,All other sections,mntl_vto,0.2659,0.4525,0.8084,-0.1866,-0.2308,small
abs,All other sections,allconj,15.2162,16.643,6.1369,-1.4268,-0.2325,small
abs,All other sections,tm_adv,1.3714,1.7872,1.7811,-0.4159,-0.2335,small
abs,All other sections,fact_jth,0.0168,0.0947,0.3208,-0.078,-0.243,small
abs,All other sections,all_nth,0.3573,0.6109,1.0274,-0.2536,-0.2469,small
abs,All other sections,prob_vto,0.2762,0.5005,0.9087,-0.2243,-0.2469,small
abs,All other sections,nonfadvl,0.5335,0.8081,1.0532,-0.2746,-0.2607,small
abs,All other sections,pred_adj,4.3432,5.2513,3.3541,-0.908,-0.2707,small
abs,All other sections,existv,7.5627,8.7083,4.0761,-1.1456,-0.2811,small
abs,All other sections,finlprep,0.3059,0.6621,1.23,-0.3562,-0.2896,small
abs,All other sections,prd_mod,1.0027,1.6036,1.9972,-0.6009,-0.3009,small
abs,All other sections,gen_hdg,0.0286,0.1611,0.4382,-0.1324,-0.3022,small
abs,All other sections,pos_mod,4.0086,5.2565,3.9156,-1.2478,-0.3187,small
abs,All other sections,be_state,0.8049,1.3004,1.5377,-0.4956,-0.3223,small
abs,All other sections,by_pasv,1.4286,2.0486,1.8097,-0.6199,-0.3425,small
abs,All other sections,perfects,3.5395,4.8178,3.6978,-1.2783,-0.3457,small
abs,All other sections,that_rel,2.5319,3.5053,2.7544,-0.9735,-0.3534,small
abs,All other sections,fctadvl,0.1627,0.4698,0.8549,-0.3071,-0.3592,small
abs,All other sections,amplifr,0.7389,1.3377,1.5724,-0.5988,-0.3808,small
abs,All other sections,conjncts,4.9043,6.4053,3.8432,-1.501,-0.3906,small
abs,All other sections,it,2.6578,3.9125,3.1386,-1.2546,-0.3997,small
abs,All other sections,allmodal,5.7157,7.842,5.3074,-2.1263,-0.4006,small
abs,All other sections,pdem,1.3195,2.1295,1.9535,-0.81,-0.4147,small
abs,All other sections,sub_othr,2.8519,3.8942,2.4858,-1.0423,-0.4193,small
abs,All other sections,downtone,1.6551,2.4664,1.9315,-0.8113,-0.42,small
abs,All other sections,sub_cnd,0.347,0.9035,1.3173,-0.5565,-0.4225,small
abs,All other sections,sub_cos,0.3081,0.7782,1.0997,-0.4701,-0.4275,small
abs,All other sections,spl_aux,2.0119,2.9407,2.11,-0.9289,-0.4402,small
abs,All other sections,all_advl,0.8935,1.6355,1.614,-0.742,-0.4597,small
abs,All other sections,pres,44.3632,55.5875,18.7969,-11.2242,-0.5971,medium
abs,All other sections,advs,23.4119,29.5439,9.979,-6.132,-0.6145,medium
abs,All other sections,wcount,385.0162,1638.278,1254.4139,-1253.2618,-0.9991,large
